Sector_Asuransi,Sector_Barang Baku,Sector_Barang Perindustrian,Sector_Barang Rumah Tangga,Sector_Farmasi & Riset Kesehatan,Sector_Finansial,Sector_Infrastruktur Transportasi,Sector_Jasa Investasi,Sector_Jasa Konsumen,Sector_Jasa Pembiayaan,Sector_Konstruksi,Sector_Makanan & Minuman,"Sector_Minyak, Gas, & Batubara",Sector_Perbankan,Sector_Perindustrian,Sector_Pertanian,Sector_Properti,Sector_Ritel Primer,Sector_Tekstil,Sector_Telekomunikasi,Revenue (IDR),Gross Profit (IDR),Net Income (IDR),Market Cap (IDR),Annual EPS,Return on Equity (%),1 Year Price Returns (%),3 Year Price Returns (%),5 Year Price Returns (%),Dividend Yield (%),Payout Ratio (%),Kode Saham
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21350000000000,2827000000000,1056000000000,12077000000000,555.0,4.73,-10.68,-37.25,-51.73,3.97,44.86,AALI
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10121000000000,2588000000000,1716000000000,10150000000000,1485.91,15.28,-4.25,31.82,-2.87,9.58,65.41,ADMF
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1593000000000,11000000000,189000000000,467000000000,-21.54,-10.27,-17.24,-43.4,-36.84,0.0,0.0,ADMG
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989000000000,119400000000,177000000000,1661000000000,38.34,9.92,9.93,-3.49,9.93,9.0,78.25,AMAG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5624000000000,1136000000000,275000000000,2090000000000,525.14,6.21,-22.18,1.31,37.39,1.73,15.23,AMFG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2528000000000,872000000000,408000000000,5433000000000,57.36,23.34,12.98,-12.94,60.87,5.81,74.96,ARNA
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219000000000,11050000000,25000000000,187000000000,50.36,6.78,-0.41,3.28,-7.05,8.2,79.43,ASDM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2929000000000,650000000000,167000000000,1146000000000,148.83,8.82,-6.08,8.97,-57.71,6.24,35.61,ASGR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,321981000000000,74375000000000,34002000000000,209502000000000,851.51,16.43,-10.0,-10.0,-20.99,10.03,60.95,ASII
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70963000000000,41252000000000,21465000000000,184622000000000,583.0,13.64,-6.6,47.21,33.33,5.66,48.11,BBNI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29780000000000,12143000000000,3271000000000,17502000000000,197.84,10.22,-5.81,-27.38,-42.72,4.12,25.22,BBTN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22308000000000,15630000000000,3275000000000,24727000000000,318.08,6.48,-11.23,7.2,-31.06,4.94,39.45,BDMN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845000000000,923000000000,467000000000,3240000000000,55.45,14.0,-29.41,10.77,1.89,7.41,144.27,BISI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15371000000000,6672000000000,1506000000000,9943000000000,147.38,9.36,-16.0,-31.07,-39.66,10.05,64.49,BJBR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23615000000000,13173000000000,6706000000000,44502000000000,272.21,12.89,3.81,79.7,90.32,6.95,45.06,BNGA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12781000000000,7154000000000,1055000000000,16615000000000,9.76,3.5,-13.49,-40.11,6.86,4.59,105.38,BNII
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18507000000000,11399000000000,3230000000000,36000000000000,102.65,7.67,6.99,-40.77,7.34,2.51,24.35,BNLI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14298000000000,8338000000000,2878000000000,21277000000000,170.16,7.34,-2.9,-5.63,-17.62,0.0,0.0,BSDE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3772000000000,2630000000000,433000000000,14196000000000,15.45,1.04,-17.71,-19.55,22.03,0.0,0.0,BSIM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21987000000000,14031000000000,2259000000000,24379000000000,249.76,4.82,-14.31,-13.99,-27.56,1.92,17.74,BTPN
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892000000000,119000000000,53000000000,323000000000,171.38,9.56,6.03,1.93,38.82,12.13,74.84,CLPI
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7196000000000,1929000000000,1000000000000,7640000000000,221.0,8.09,-10.79,-6.33,-11.3,0.0,0.0,CMNP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64206000000000,8336000000000,2030000000000,79858000000000,194.07,7.02,-3.08,-18.49,-29.93,0.62,15.46,CPIN
